what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode",1509771193345
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1509771193345
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1509771193345
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1509771193345
java.vm.specification.version,sysinfo,,,"1.7",1509771193345
java.vm.vendor,sysinfo,,,"Oracle Corporation",1509771193345
java.vm.version,sysinfo,,,"22.1-b02",1509771193345
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1509771193628
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1509771193740
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1509771193835
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1509771194010
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1509771194026
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1509771194274
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1509771194445
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1509771194454
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1509771194622
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1509771194671
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1509771194908
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1509771194932
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r36x201106081733,"org.eclipse.wb.discovery.core",1509771194946
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r36x201106081733,"org.eclipse.wb.discovery.ui",1509771195597
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509771197685
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509771221647
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509771222612
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509776516732
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509776518028
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509796267614
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1509796272366
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509796274609
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509796274668
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1509796278320
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509796308298
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509796314011
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1509796316548
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1509796316958
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1509796316976
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1509796317090
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1509796317216
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.9.3,"org.tigris.subversion.clientadapter.javahl",1509796318183
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.10,"org.tigris.subversion.clientadapter.svnkit",1509796318200
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1509796318688
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1509796318780
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1509796318800
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1509796318812
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1509796318868
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1509796318870
started,bundle,org.eclipse.jst.j2ee.core,1.2.4.v201102101900,"org.eclipse.jst.j2ee.core",1509796318941
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1509796319006
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1509796319062
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1509796319118
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1509796319189
started,bundle,org.eclipse.jst.j2ee,1.1.404.v201102081800,"org.eclipse.jst.j2ee",1509796319267
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1509796319293
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1509796319368
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1509796326191
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509796326500
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509796328807
executed,command,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1509796328836
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509796330729
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509796491142
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509796492985
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509796494322
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509796494520
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1509796495368
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1509796495430
